name;use;origin;substitutes;aromas;alt_names;alt_names_extra
ADHA 484;;USA;;;;Experimental 484,ADHA-484
Admiral;bittering;GBR;Challenger,Northdown,Target;Citrus,Herbal,Orange,Resin,Tea;;admiral (uk)
African Queen;dual-purpose;ZAF;Amarillo,Cascade,Citra,Mosaic,Simcoe;Blueberry,Bubblegum,Cassis,Chilies,Citrus,Currant,Gazpacho,Gooseberry,Lemongrass,Stonefruit;South African Queen;Africa Queen,SA Queen,S.A. Queen,South Africa Queen,j17,j-17
Aged Hops;;;;;;aged / debittered hops,old hops,Lambic Hops
Agnus;bittering;CZH;Columbus,Magnum,Nugget,Target;Citrus,Lavender,Leather,Spicy,Tobacco;;
Ahil;aroma;SLO;;;;
Ahtanum;aroma;USA;Amarillo,Cascade,Centennial,Willamette;Cedar,Citrus,Earthy,Floral,Geranium,Grapefruit,Lemon,Pine;;Ahtanium,Athanum,Athnanum,Ahtanum (us)
Akoya;aroma;GER;Aurora,Hallertauer Tradition,Northern Brewer,Perle;Fruity,Pepper,Spicy,Tea;;
Alliance;dual-purpose;GBR;;;;
Aloha;dual-purpose;GER;;Berry,Citrus,Floral,Fruity,Sweet;;
Alta;dual-purpose;UA;Magnum;spicy,fruit,currant;;alta (ua)
Amallia;dual-purpose;USA;;Earthy;;
Amarillo;aroma;USA;Cascade,Centennial,Chinook,Simcoe,Summer,Yellow Sub;Apricot,Citrus,Floral,Grapefruit,Lemon,Melon,Orange,Peach,Spicy,Tropical Fruits;;Amarillo,Armarillo,Amar,Amaerillo,amarillo (us),amarillo gold,armadillo
Amethyst;aroma;CZH;;Citrus,Earthy,Spicy;;
Apollo;bittering;USA;Bravo,Columbus,Magnum,Nugget;Cannabis,Citrus,Grapefruit,Lemon,Lime,Orange,Pine,Resin;;apollo (us)
Apolon;dual-purpose;SLO;;;;
Aquila;aroma;USA;Cluster,Galena;;;
Aramis;aroma;FRA;Ahtanum,Centennial,Challenger,Strisselspalt,Willamette;Citrus,Floral,Grassy,Herbal,Pepper,Spicy;;Armis,aramis (fr)
Archer;aroma;GBR;;Apricot,Citrus,Floral,Lime,Peach;;
Ariana;dual-purpose;GER;Hallertauer Blanc,Hüll Melon,Mandarina Bavaria;Citrus,Fruity,Gooseberry,Herbal,Jasmine,Passionfruit,Pineapple,Tangerine;;Arriana
Astra;dual-purpose;;;Grapefruit,Grassy,Honey,Melon,Peach,Sweet,Tropical Fruits,Whitewine;;
Atlas;aroma;SLO;;Floral,Lime,Pine;;
Aurora;dual-purpose;SLO;Northern Brewer,Perle,Styrian Golding;Floral,Lemongrass,Noble,Spicy;Super Styrians;Super Styrian,styrian goldings (sl),styrian golding (sl),styrian arora (si),styrian aurora (si),auarora
Azacca;dual-purpose;USA;Amarillo,Citra,Delta,Pekko;Citrus,Grapefruit,Grassy,Lemon,Mango,Orange,Papaya,Pineapple,Spicy,Tropical Fruits;;Aza,Azzaca
Backa;aroma;SER;;;;
Banner;bittering;USA;Aquila,Cluster,Galena;;;
Barbe Rouge;aroma;FRA;;Berry,Citrus,Currant,Floral,Kumquat,Lime,Orange,Raspberry,Strawberry;;Barbe Rogue
Bate's Brewer;dual-purpose;GBR;;;;
Beata;bittering;;;Almond,Apricot,Honey;;
Belma;dual-purpose;USA;Hüll Melon,Pacific Gem;Berry,Citrus,Grapefruit,Melon,Orange,Pineapple,Strawberry,Tropical Fruits;;
Bergamot;aroma;USA;;Cherry,Citrus,Juniper,Lemongrass,Lime,Mango,Orange;;
Bianca;aroma;USA;;;Bianco,Bianca Gold ;
Bitter Gold;bittering;USA;Galena,Nugget;Floral,Grapefruit,Grassy,Pear,Stonefruit,Tropical Fruits,Watermelon;;
Blato;aroma;CZH;Saaz;Earthy,Floral,Herbal,Mild,Noble;;saaz (cz)
Blisk;aroma;SLO;;;;
Blue Northern Brewer;dual-purpose;BEL;Chinook;;;
