style_name;style_id;yeast_list
Altbier;1;K-97,WLP036,US-05,WLP029,W34/70,G02,Nottingham
Alternative Grain Beer;2;US-05,S-04,W34/70,Voss,Windsor,S-33,M36,M76
Alternative Sugar Beer;3;US-05,EC-1118,S-04,Nottingham
American Amber Ale;4;US-05,S-04,1056,WLP001,BRY-97,Nottingham,Voss,1272
American Barleywine;5;US-05,1056,OYL-091,S-04,OYL-071,WLP001,M36,Nottingham
American Brown Ale;6;US-05,S-04,1056,Nottingham,M44,WLP001,WLP002,WLP007
American IPA;7;US-05,WLP001,S-04,BRY-97,1056,M44,Voss,Verdant
American Lager;8;W34/70,S-23,OYL-071,WLP840,US-05,WLP940,M54,Diamond Lager
American Light Lager;9;W34/70,S-23,WLP840,US-05,S-189,2035,Diamond Lager
American Pale Ale;10;US-05,S-04,M44,WLP001,BRY-97,Voss,1056,Nottingham
American Porter;11;US-05,S-04,Nottingham,WLP001,WLP002,1056,Windsor,WLP007
American Stout;12;US-05,S-04,WLP001,Nottingham,1056,A10,M42,WLP002
American Strong Ale;13;US-05,S-04,WLP007,Voss,BRY-97,Nottingham,M42
American Wheat Beer;14;US-05,1010,WB-06,WLP001,BRY-97,WLP320,S-04,Voss
American Wheat or Rye Beer;15;US-05,1010,WB-06,WLP001,BRY-97,WLP320,S-04,Voss
Apple Wine;16;
Australian Sparkling Ale;17;US-05,S-04,W34/70,Nottingham,Coopers,WLP009,BRY-97,M44
Autumn Seasonal Beer;18;US-05,S-04,1098,A07,WLP001,M36
Baltic Porter;19;W34/70,US-05,S-23,M76,WLP830,Nottingham,S-04,M42
Belgian Blond Ale;20;T-58,M41,S-33,US-05,M31,M47,BE-256,3522
Belgian Dark Strong Ale;21;BE-256,3787,M41,WLP530,WLP500,T-58,M31,1762
Belgian Dubbel;22;BE-256,WLP530,M47,3787,T-58,1762,WLP500,M31
Belgian Golden Strong Ale;23;1388,M41,BE-256,WLP570,T-58,S-33,M31,US-05
Belgian Pale Ale;24;T-58,M47,3522,S-33,M41,S-04,WLP550,BE-256
Belgian Specialty Ale;25;
Belgian Tripel;26;M31,BE-256,3787,WLP530,T-58,S-33,Abbaye,WLP500
Berliner Weisse;27;US-05,Philly Sour,K-97,WLP677,1007,Voss,OYL-605,WLP630
Best Bitter;28;S-04,Nottingham,WLP002,1469,1968,M36,Windsor,London English-Style Ale
Biere de Garde;29;Belle Saison,T-58,3711,1007,US-05,S-33,K-97,WLP590
Blond Ale;30;US-05,S-04,Nottingham,Voss,WLP001,S-33,BRY-97,1056
Bohemian Pilsener;31;W34/70,M84,Voss,S-23
Braggot;32;
Brett Beer;33;WLP648,WLP644,OYL-212,WLP645,WLP650
British Brown Ale;34;S-04,Nottingham,US-05,Windsor,1318,M15,M36,WLP013
British Golden Ale;35;S-04,US-05,Nottingham,M36,1318,Windsor,Voss,1469
British Strong Ale;36;S-04,Nottingham,1968,US-05,WLP023,WLP002,M15,WLP005
Brown Porter;37;1318,1968,S-04
California Common;38;M54,2112,WLP810,W34/70,L05,1007,US-05,S-23
California Common Beer;39;M54,2112,WLP810,W34/70,L05,1007,US-05,S-23
Classic American Pilsner;40;
Classic Rauchbier;41;W34/70,M76,S-23,US-05,2206,WLP820,Diamond Lager
Classic Style Smoked Beer;42;W34/70,US-05,S-04,OYL-071,S-33,S-23,WLP820
Clone Beer;43;
Common Cider;44;
Cream Ale;45;
Cyser (Apple Melomel);46;
Czech Amber Lager;47;W34/70,WLP802,2278,M84,2124,L28,WLP800,S-23
Czech Dark Lager;48;W34/70,S-23,WLP802,2124,M84,S-189,2278,L28
Czech Pale Lager;49;W34/70,L28,S-23,M84,2278,Diamond Lager,WLP800,WLP802
Czech Premium Pale Lager;50;W34/70,L28,S-23,M84,2278,WLP800,WLP802,2124
Dusseldorf Altbier;51;K-97,WLP036,US-05,WLP029,W34/70,G02,Nottingham
Dark American Lager;52;W34/70,Diamond Lager,WLP940,S-23,S-189
Dark Mild;53;S-04,1318,Nottingham,Windsor,WLP002,1968,A09,1469
Doppelbock;54;W34/70,WLP833,2206,OYL-111,Diamond Lager,S-23,OYL-071,2308
Dortmunder Export;55;WLP833,Danish Lager
Double IPA;56;US-05,WLP001,S-04,M44,Voss,1056,BRY-97,Verdant
Dry Mead;57;Dry Mead
Dry Stout;58;S-04,Nottingham,1084,WLP004,US-05,OYL-005,M15,M42
Dunkelweizen;59;WB-06,3068,M20,WLP300,Munich Classic Wheat Beer,3056,WLP380,G01
Dunkles Bock;60;Diamond Lager,M76,W34/70,2308,WLP833,S-189,2206
Dunkles Weissbier;61;WB-06,3068,M20,WLP300,Munich Classic Wheat Beer,3056,WLP380,G01
Eisbock;62;W34/70
English Barleywine;63;Nottingham,S-04,1028,US-05,WLP007,WLP013,M42,WLP099
English Cider;64;
English IPA;65;US-05,S-04,Nottingham,Voss,WLP001,Verdant,M36,BRY-97
English Porter;66;S-04,Nottingham,US-05,1028,M15,Windsor,WLP002,M42
Experimental Beer;67;US-05
Extra Special/Strong Bitter (ESB);68;S-04,Nottingham,WLP002,1469,1968,M36,Windsor,London English-Style Ale
Festbier;69;W34/70,S-23,2308,M76,WLP830,S-189,OYL-071,WLP838
Flanders Brown Ale/Oud Bruin;70;3763,US-05,WLP655,S-04,WLP001,3522,1056,1007
Flanders Red Ale;71;3763,US-05,WLP655,S-04,WLP001,3522,1056,1007
Foreign Extra Stout;72;S-04,US-05,1084,Nottingham,WLP007,W34/70,WLP004,M42
French Cider;73;
Fruit and Spice Beer;74;US-05
Fruit Beer;75;US-05
Fruit Cider;76;
Fruit Lambic;77;Philly Sour,US-05,3278,OYL-605,S-04
German Helles Exportbier;78;W34/70,S-23,WLP830,M84,M76,US-05,S-189,2124
German Leichtbier;79;S-23,Diamond Lager,1007,W34/70
German Pils;80;W34/70,S-23,M84,WLP830,M76,Diamond Lager,S-189,2124
German Pilsner (Pils);81;W34/70,S-23,M84,WLP830,M76,Diamond Lager,S-189,2124
Gose;82;US-05,Philly Sour,K-97,1007,WLP029,Voss,OYL-605,S-04
Gueuze;83;3278,Philly Sour,US-05
Helles Bock;84;W34/70,WLP833,2206,S-23,M76,Nottingham,Diamond Lager,S-189
Holiday/Winter Special Spiced Beer;85;US-05
Imperial IPA;86;US-05,WLP001,S-04,M44,Voss,1056,BRY-97,Verdant
Imperial Stout;87;US-05,S-04,Nottingham,M42,WLP001,1056,A10,1028
International Amber Lager;88;W34/70,S-23,M76,WLP940,M84,Diamond Lager,M54
International Dark Lager;89;W34/70,S-189,Diamond Lager,S-23,WLP940
International Pale Lager;90;W34/70,S-23,M54,S-189,WLP940,US-05,Diamond Lager,M76
Irish Extra Stout;91;S-04,Nottingham,1084,WLP004,US-05,OYL-005,M15,M42
Irish Red Ale;92;S-04,Nottingham,US-05,WLP004,1084,M36,Windsor,OYL-005
Irish Stout;93;S-04,Nottingham,1084,WLP004,US-05,OYL-005,M15,M42
Kolsch;94;
Kellerbier: Amber Kellerbier;95;
Kellerbier: Pale Kellerbier;96;
Kentucky Common;97;
Lambic;98;
Lichtenhainer;99;
Light American Lager;100;
London Brown Ale;101;
Marzen;102;
Maibock/Helles Bock;103;
Metheglin;104;
Mild;105;
Mixed-Fermentation Sour Beer;106;
Mixed-Style Beer;107;
Munich Dunkel;108;
Munich Helles;109;
New England Cider;110;
N/A;111;
North German Altbier;112;
Northern English Brown;113;
Oatmeal Stout;114;
Oktoberfest/Marzen;115;
Old Ale;116;
Open Category Mead;117;
Ordinary Bitter;118;
Other Fruit Melomel;119;
Other Smoked Beer;120;
Other Specialty Cider or Perry;121;
Oud Bruin;122;
Piwo Grodziskie;123;
Premium American Lager;124;
Pre-Prohibition Lager;125;
Pre-Prohibition Porter;126;
Pyment (Grape Melomel);127;
Rauchbier;128;
Robust Porter;129;
Roggenbier;130;
Roggenbier (German Rye Beer);131;
Russian Imperial Stout;132;
Sahti;133;
Saison;134;
Schwarzbier;135;
Scottish Export;136;
Scottish Export 80/-;137;
Scottish Heavy;138;
Scottish Heavy 70/-;139;
Scottish Light;140;
Scottish Light 60/-;141;
Semi-Sweet Mead;142;
Southern English Brown;143;
Special/Best/Premium Bitter;144;
Specialty Beer;145;
Specialty Fruit Beer;146;
Specialty IPA: Belgian IPA;147;3522,US-05,BE-256,M31,WLP550,M47,WLP500,M41
Specialty IPA: Black IPA;148;
Specialty IPA: Brown IPA;149;
Specialty IPA: Red IPA;150;
Specialty IPA: Rye IPA;151;
Specialty IPA: White IPA;152;
Specialty Smoked Beer;153;
Specialty Wood-Aged Beer;154;
Spice Herb or Vegetable Beer;155;
Standard American Lager;156;
Standard/Ordinary Bitter;157;
Straight (Unblended) Lambic;158;
Strong Bitter;159;
Strong Scotch Ale;160;
Sweet Mead;161;
Sweet Stout;162;
Traditional Bock;163;
Traditional Perry;164;
Trappist Single;165;
Tropical Stout;166;
Vienna Lager;167;
Wee Heavy;168;
Weissbier;169;
Weizen/Weissbier;170;
Weizenbock;171;
Wheatwine;172;
Wild Specialty Beer;173;
Winter Seasonal Beer;174;
Witbier;175;
Wood-Aged Beer;176;
